,loss,accuracy,precision_1,recall_1,f1_score,val_loss,val_accuracy,val_precision_1,val_recall_1,val_f1_score,lr
0,0.16567100584506989,0.9557658433914185,0.9653405547142029,0.9457119703292847,0.9516519904136658,0.8668240308761597,0.5826141834259033,0.5884585380554199,0.5706852674484253,0.579166054725647,0.001
1,0.08582296967506409,0.9761414527893066,0.9777061343193054,0.9745903611183167,0.9761767983436584,0.1057576835155487,0.9684010148048401,0.972126305103302,0.9648477435112,0.9684898257255554,0.001
2,0.07089891284704208,0.979624330997467,0.9808600544929504,0.9784258008003235,0.9796705842018127,0.1207602247595787,0.9620558619499207,0.9659759402275085,0.9583756327629089,0.9620367288589478,0.001
3,0.05984640121459961,0.9822329878807068,0.9831331968307495,0.9813587665557861,0.9822715520858765,0.09062963724136353,0.9729695320129395,0.9759082198143005,0.9715735912322998,0.9739089012145996,0.001
4,0.05278882384300232,0.9843904376029968,0.9849637746810913,0.9837276935577393,0.984083354473114,0.3308838903903961,0.9427664875984192,0.9437658786773682,0.9413705468177795,0.9427687525749207,0.001
5,0.04903542250394821,0.9855749011039734,0.9863296151161194,0.9848275184631348,0.9855984449386597,0.04805576056241989,0.9871827363967896,0.9879303574562073,0.9868020415306091,0.9874535202980042,0.001
6,0.04498329758644104,0.9864632487297058,0.9870676398277283,0.9858428239822388,0.9864724278450012,0.058918774127960205,0.983883261680603,0.984869658946991,0.9829949140548706,0.9840449094772339,0.001
7,0.03984016925096512,0.9874221086502075,0.9879752993583679,0.9870836734771729,0.9875475168228149,0.06266206502914429,0.9809644818305969,0.9816980361938477,0.9802030324935913,0.9810893535614014,0.001
8,0.03789627179503441,0.988409161567688,0.9890173673629761,0.9879156351089478,0.9884841442108154,0.06455481797456741,0.9818527698516846,0.9824650287628174,0.9812182784080505,0.9818709492683411,0.001
9,0.034466542303562164,0.9891141653060913,0.9895709753036499,0.9887616634368896,0.9891824722290039,0.08134397864341736,0.9766497611999512,0.9772438406944275,0.9755076169967651,0.97624671459198,0.001
10,0.0346074178814888,0.9889872670173645,0.9894421696662903,0.9884655475616455,0.9889700412750244,0.05742603912949562,0.9829949140548706,0.9838545918464661,0.982106626033783,0.9830495119094849,0.001
11,0.020557774230837822,0.9931893348693848,0.9935522079467773,0.9929777979850769,0.9932752251625061,0.041902560740709305,0.9895939230918884,0.9898451566696167,0.9895939230918884,0.9897913932800293,0.0005
12,0.018015841022133827,0.9941199421882629,0.9943147897720337,0.9938661456108093,0.9940993785858154,0.04834858700633049,0.9856598973274231,0.9864006042480469,0.9848984479904175,0.9856487512588501,0.0005
13,0.01659679226577282,0.9941763877868652,0.9945117235183716,0.9939507842063904,0.9939535856246948,0.0432497002184391,0.9895939230918884,0.989963173866272,0.9888324737548828,0.9894720911979675,0.0005
14,0.022239062935113907,0.9929496049880981,0.9932840466499329,0.9926958084106445,0.9929994344711304,0.0428042933344841,0.988071084022522,0.988444447517395,0.9878172874450684,0.988212525844574,0.0005
15,0.014602086506783962,0.9949237108230591,0.9950634241104126,0.9947968125343323,0.9949378371238708,0.051633432507514954,0.9860405921936035,0.9862909317016602,0.9860405921936035,0.9861640930175781,0.0005
16,0.013800014741718769,0.9954454302787781,0.9955431818962097,0.995332658290863,0.9954453706741333,0.04555715247988701,0.989847719669342,0.9903504252433777,0.989847719669342,0.9901674389839172,0.0005
17,0.011927920393645763,0.9956428408622742,0.9957266449928284,0.9955300688743591,0.9956355094909668,0.03926020488142967,0.9893401265144348,0.9898399710655212,0.9890862703323364,0.989439845085144,0.0005
18,0.012720302678644657,0.9956005811691284,0.9957826733589172,0.9955018758773804,0.9956489205360413,0.048043426126241684,0.9892131686210632,0.9893373847007751,0.9890862703323364,0.9891893267631531,0.0005
19,0.01660129614174366,0.9943737983703613,0.994583249092102,0.994204580783844,0.9944022297859192,0.047147490084171295,0.9889593720436096,0.9895859956741333,0.9888324737548828,0.9892843961715698,0.0005
20,0.012798408046364784,0.9955723285675049,0.9957265853881836,0.9955159425735474,0.9956283569335938,0.04418933764100075,0.9895939230918884,0.9898399710655212,0.9890862703323364,0.989535927772522,0.0005
21,0.008627151139080524,0.9970388412475586,0.9970526695251465,0.9969683289527893,0.9970152974128723,0.04943828657269478,0.9884517788887024,0.9888225793838501,0.9879441857337952,0.9884655475616455,0.0005
22,0.0058425250463187695,0.9980682134628296,0.9981244802474976,0.9980682134628296,0.9980994462966919,0.04357064515352249,0.9907360672950745,0.9909875392913818,0.9907360672950745,0.9909249544143677,0.00025
23,0.004913647193461657,0.9983220100402832,0.9983642101287842,0.9983078837394714,0.9983387589454651,0.047166187316179276,0.9906091094017029,0.9907336831092834,0.9904822111129761,0.9906729459762573,0.00025
24,0.004548078868538141,0.9984912276268005,0.9984912276268005,0.9984912276268005,0.9984937906265259,0.048823874443769455,0.9906091094017029,0.9908594489097595,0.9904822111129761,0.9907342195510864,0.00025
25,0.004501730669289827,0.9984065890312195,0.9984207153320312,0.9984065890312195,0.9984163641929626,0.04921829327940941,0.9914974570274353,0.9914974570274353,0.9914974570274353,0.9915574789047241,0.00025
